City,Violations_Count,Violations_Count(%),Acum
CORBELIA,2042,0.04937706790652597,0.8558636960790686
FLORESTAL,2040,0.04932870642963417,0.856356983143365
BARRA DO CORDA,2039,0.049304525691188275,0.8568500284002768
ROSARIO DO SUL,2035,0.04920780273740468,0.8573421064276509
ALEGRETE DO PIAUI,2031,0.04911107978362109,0.8578332172254871
DOMINGOS MARTINS,2031,0.04911107978362109,0.8583243280233234
ABREU E LIMA,2023,0.048917633876053884,0.8588135043620839
OURO PRETO DO OESTE,2020,0.04884509166071619,0.8593019552786911
MACAE,2018,0.04879673018382439,0.8597899225805293
CRISTINO CASTRO,2016,0.048748368706932596,0.8602774062675986
CAMBE,1998,0.04831311541490641,0.8607605374217477
SENHOR DO BONFIM,1974,0.04773277769220483,0.8612378651986697
VERANOPOLIS,1972,0.04768441621531303,0.8617147093608228
QUEIMADAS,1965,0.04751515104619174,0.8621898608712848
JEREMOABO,1963,0.047466789569299936,0.8626645287669777
RIO DO SUL,1960,0.04739424735396224,0.8631384712405173
SANTA MARIA DA BOA VISTA,1958,0.04734588587707045,0.863611930099288
POMBAL,1955,0.04727334366173275,0.8640846635359054
SAO MARCOS,1954,0.047249162923286854,0.8645571551651383
TURUCU,1952,0.047200801446395046,0.8650291631796022
CAICO,1948,0.04710407849261145,0.8655002039645283
MARINGA,1945,0.04703153627727376,0.8659705193273011
GUAJARA MIRIM,1943,0.04698317480038196,0.8664403510753049
ESPERANCA,1943,0.04698317480038196,0.8669101828233088
ENCRUZILHADA,1937,0.04683809036970656,0.8673785637270058
